URN,Perseus,Text,SOL
urn:cts:greekLit:tlg1389.tlg001.dc3:ἄβαρις,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.habaris,"Ἄβαρις: ὄνομα κύριον. λοιμοῦ δέ φασι κατὰ πᾶσαν τὴν οἰκουμένην γεγονότος ἀνεῖλεν ὁ Ἀπόλλων μαντευομένοις Ἕλλησί τε καὶ βαρβάροις τὸν Ἀθηναίων δῆμον ὑπὲρ πάντων εὐχὰς ποιήσασθαι. πρεσβευομένων δὲ πολλῶν ἐθνῶν πρὸς αὐτοὺς καὶ Ἄβαριν ἐξ Ὑπερβορέων πρεσβευτὴν ἀφικέσθαι λέγουσιν. ὁ δὲ χρόνος ἐν ᾧ παραγέγονε διαφωνεῖται· Ἱππόστρατος μὲν γὰρ κατὰ τὴν νγ αὐτὸν Ὀλυμπιάδα λέγει παραγενέσθαι, ὁ δὲ Πίνδαρος κατὰ Κροῖσον τὸν Λυδῶν βασιλέα, ἄλλοι δὲ κατὰ τὴν κα Ὀλυμπιάδα.","alpha,18"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἄβιος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.abios,"Ἄβιος: τὸν ἄβιον <person TLG=""0028"">Ἀντιφῶν</person> ἐπὶ τοῦ πολὺν τὸν βίον κεκτημένου ἔταξεν, ὡς <person TLG=""0012"">Ὅμηρος</person><ref TLG=""0012.001.11.153""/> ἄξυλον ὕλην λέγει τὴν πολύξυλον.","alpha,47"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀβροκόμας,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.abrokomas,Ἀβροκόμας: οὗτος σατράπης ἦν Ἀρταξέρξου τοῦ Περσῶν βασιλέως.,"alpha,83"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγάθαρχος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agatharchos,"Ἀγάθαρχος: τούτου μνημονεύει <person TLG=""0014"">Δημοσθένης</person><ref TLG=""0014.021.147""/>, ἦν δὲ ζωγράφος ἐπιφανὴς, Εὐδήμου υἱὸς, τὸ δὲ γένος Σάμιος.","alpha,109"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγαθῆς_τύχης_νεώς,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agathes_tuches_neos,"Ἀγαθῆς τύχης νεώς: τούτου μνημονεύει <person TLG=""0034"">Λυκοῦργος</person> ἐν τῷ περὶ διοικήσεως καὶ ἕτεροι.","alpha,111"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγασικλῆς,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agasikles,"Ἀγασικλῆς: περὶ Ἀγασικλέους <person TLG=""0030"">Ὑπερείδης</person> λέγει<ref TLG=""0030.003.3""/>. γέγραπται καὶ <person TLG=""0029"">Δεινάρχῳ</person> λόγος κατ' αὐτοῦ, ἐν ᾧ δεδήλωται ὅτι Ἁλιμουσίους συνεδέκασε καὶ διὰ τοῦτο ξένος ὢν τῇ πολιτείᾳ ἐνεγράφη.","alpha,169"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἄγοι,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agoi,"Ἄγοι: τοῦτο πολλὰ σημαίνει. <person TLG=""0017"">Ἰσαῖος</person> δὲ ἀντὶ τοῦ φέρειν καὶ ἐνάγειν καὶ ἕλκειν ἔλαβεν ἐν τῷ οὕτως ἐπιγραφομένῳ ""<work TLG=""0017.000"">ὑπὲρ Εὐμάθους εἰς ἐλευθερίαν ἀφαίρεσις</work>,"" λέγων οὕτως <q TLG=""0017.000.0"">ἔβλαψέ με Ξενοκλῆς ἀφελόμενος Εὐμάθην εἰς ἐλευθερίαν, ἄγοντος ἐμοῦ εἰς δουλείαν κατὰ τὸ ἐμὸν μέρος.</q> καὶ πολλάκις ἐν τῷ λόγῳ ἐχρήσατο τῷ ὀνόματι ἐπὶ τῆς αὐτῆς ἐννοίας. <person TLG=""0028"">Ἀντιφῶν</person> δ' ἐν τῷ <work TLG=""0028.000"">περὶ ἀληθείας</work> φησὶ <q TLG=""0028.000.0"">τοὺς νόμους μεγάλους ἄγοι</q> ἀντὶ τοῦ ἡγοῖτο. τούτου πολλὴ χρῆσις.","alpha,381"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγελαίων,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agelaion,"Ἀγελαίων: <person TLG=""0010"">Ἰσοκράτης</person> ἐν τῷ <work TLG=""0010.021"">Παναθηναϊκῷ</work>, ὡς ἂν εἰ ἔλεγε τῶν πολλῶν σοφιστῶν καὶ πλανητῶν. ἡ μεταφορὰ ἀπὸ τῶν ἀγελαίων ζῴων, ἃ βόσκεται εἰς ἃ τύχοι χωρία, ἢ ἀπὸ τῶν ἰχθύων, οὓς διαβόσκεσθαί φασι ῥύδην καὶ ἀγεληδόν.","alpha,187"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγενής,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agenes,"Ἀγενής: ἀντὶ τοῦ ἄπαις παρ' <person TLG=""0017"">Ἰσαίῳ</person> ἐν τῷ <work TLG=""0017.002"">ὑπὲρ Μενεκλέους κλήρου</work>.","alpha,199"
urn:cts:greekLit:tlg1389.tlg001.dc3:ἀγησίλαος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:a.agesilaos,"Ἀγησίλαος: οὗτος ἦν, ὡς ὁ <person TLG=""0032"">Ξενοφῶν</person> δηλοῖ, βασιλεὺς Λακεδαιμονίων ἐπιφανὴς καὶ γενναῖος, καὶ πολλὰ τῆς Ἀσίας κατεστρέψατο τοῖς Κύρῳ συναναβᾶσι χρησάμενος στρατιώταις.","alpha,229"
